"","Country.Name","Time","Pub.Opinion","Region","Polity","Polity.Sim","Share","Member","GDP","GDP.Growth","Capital","Air","Port","Debt"
"311","United Kingdom",2014,47,3,10,17,0,1,2998833559195.71,3.07048379406776,NA,5917.401138,5.6,NA
"312","United Kingdom",2015,45,3,10,17,3054.7,1,2861090726739.55,2.19422903476445,NA,5466.5046762,5.67227357004318,NA
"313","United States",2008,39,4,10,17,0,0,1.4718582e+13,-0.291621458693953,78.7458858468839,39313.596,5.86851425899453,NA
"314","United States",2009,50,4,10,17,0,0,1.4418739e+13,-2.77552957416808,104.567297736647,35097.670654396,5.6665832662,NA
"315","United States",2010,49,4,10,17,0,0,1.4964372e+13,2.53192061616315,115.497340483115,39353.2561,5.5372399658,NA
"316","United States",2011,51,4,10,17,0,0,1.5517926e+13,1.60145467247139,100.791220682455,39621.9135350454,5.5,NA
"317","United States",2012,40,4,10,17,0,0,1.6155255e+13,2.22403085385714,115.555794136335,39111.3403776909,5.6,NA
"318","United States",2013,37,4,10,17,0,0,1.6691517e+13,1.67733152992453,143.99442255608,37113.5589216014,5.7,NA
"319","United States",2014,35,4,10,17,0,0,1.7393103e+13,2.37045767146387,151.385231203426,38225.1960889445,5.7,NA
"320","United States",2015,38,4,10,17,0,0,1.8036648e+13,2.59614804050973,138.981143281168,37218.888635,5.72790978955242,NA
"321","Venezuela, RB",2008,NA,5,5,12,0,0,315600203539.823,5.27785412398782,NA,2.169,2.36098887557903,66930078000
"322","Venezuela, RB",2009,NA,5,-3,4,0,0,329418979506.288,-3.20230265749004,NA,1.857,2.4163333125,84578254000
"323","Venezuela, RB",2010,NA,5,-3,4,0,0,393801459277.332,-1.48879125078348,NA,1.21619,2.4300723351,101765867000
"324","Venezuela, RB",2011,NA,5,-3,4,0,0,316482190800.364,4.17642535923927,NA,7.56177,2.5,118171694000
"325","Venezuela, RB",2012,NA,5,-3,4,0,0,381286237847.667,5.62595697508641,NA,5.67204073867983,2.5,130629842000
"326","Venezuela, RB",2013,71,5,4,11,0,0,371336634589.947,1.34309403607476,NA,5.198784,2.5,132345779000
"327","Venezuela, RB",2014,67,5,4,11,0,0,NA,-3.89438647450662,NA,5.745684,2.6,135747695000
"328","Venezuela, RB",2015,58,5,4,11,0,0,NA,NA,NA,6.204085092,2.55457270741463,123666152000
"329","Vietnam",2008,NA,1,-7,0,0,1,99130304099.1274,5.66177120802432,9.5639169940602,295.759,2.8256551670292,26435435000
"330","Vietnam",2009,NA,1,-7,0,0,1,106014601171.036,5.39789754276676,25.0209779662381,311.502,3.2836947328,32702629000
"331","Vietnam",2010,NA,1,-7,0,0,1,115931749697.241,6.42323821717494,25.976878705486,426.91573,3.6003325613,44901572000
"332","Vietnam",2011,NA,1,-7,0,0,1,135539487317.008,6.24030274887527,15.9173908851674,475.385659574604,3.4,53886305000
"333","Vietnam",2012,NA,1,-7,0,0,1,155820001920.492,5.2473671560487,NA,503.550322720949,3.4,61576671000
"334","Vietnam",2013,16,1,-7,0,0,1,171222025117.381,5.42188299130713,23.3972644421978,497.179820293424,3.7,6.5452e+10
"335","Vietnam",2014,19,1,-7,0,0,1,186204652922.262,5.98365463697851,24.739994021112,450.220037899155,3.7,72423458000
"336","Vietnam",2015,NA,1,-7,0,663.3,1,193599379094.859,6.67928878891431,26.7958762277753,384.47024,3.91381684403087,77798272000
